(-4,24; 0; 0)
(-4,24; 0; 0)
(-4,24; 0; 0)
(-4,2422; 0,0001000166; -0,009754834)
(-4,244329; 0,0001000166; -0,01952558)
(-4,246387; 9,989738E-05; -0,0293116)
(-4,248374; 0,0001000166; -0,03911224)
(-4,25029; 0,0001000166; -0,04892689)
(-4,252137; 0,0001000166; -0,05875494)
(-4,253914; 0,0001000166; -0,06859577)
(-4,255622; 0,0001000166; -0,07844882)
(-4,257262; 0,0001000166; -0,08831349)
(-4,258833; 9,989738E-05; -0,09818923)
(-4,260337; 0,0001000166; -0,1080755)
(-4,261774; 0,0001000166; -0,1179717)
(-4,263144; 9,989738E-05; -0,1278773)
(-4,264449; 0,0001000166; -0,1377919)
(-4,265688; 0,0001000166; -0,1477149)
(-4,266861; 0,0001000166; -0,1576457)
(-4,267971; 0,0001000166; -0,167584)
(-4,269016; 0,0001000166; -0,1775293)
(-4,269997; 0,0001000166; -0,187481)
(-4,270916; 0,0001000166; -0,1974388)
(-4,271771; 0,0001000166; -0,2074021)
(-4,272565; 9,989738E-05; -0,2173705)
(-4,273297; 9,989738E-05; -0,2273437)
(-4,273968; 0,0001000166; -0,2373212)
(-4,274578; 0,0001000166; -0,2473025)
(-4,275128; 9,989738E-05; -0,2572874)
(-4,275619; 9,989738E-05; -0,2672754)
(-4,276051; 0,0001000166; -0,277266)
(-4,276423; 0,0001000166; -0,2872591)
(-4,276738; 9,989738E-05; -0,2972541)
(-4,276995; 9,989738E-05; -0,3072508)
(-4,277195; 0,0001000166; -0,3172488)
(-4,277339; 0,0001000166; -0,3272478)
(-4,277426; 9,989738E-05; -0,3372474)
(-4,277458; 9,989738E-05; -0,3472474)
(-4,277434; 0,0001000166; -0,3572474)
(-4,277356; 0,0001000166; -0,367247)
(-4,277224; 9,989738E-05; -0,3772462)
(-4,277038; 0,0001000166; -0,3872444)
(-4,276799; 9,989738E-05; -0,3972416)
(-4,276507; 0,0001000166; -0,4072373)
(-4,276164; 0,0001000166; -0,4172314)
(-4,275768; 9,989738E-05; -0,4272236)
(-4,275321; 9,989738E-05; -0,4372136)
(-4,274824; 0,0001000166; -0,4472012)
(-4,274276; 0,0001000166; -0,4571862)
(-4,273679; 9,989738E-05; -0,4671684)
(-4,273032; 9,989738E-05; -0,4771474)
(-4,272336; 0,0001000166; -0,4871232)
(-4,271593; 0,0001000166; -0,4970955)
(-4,270801; 9,989738E-05; -0,5070641)
(-4,269962; 9,989738E-05; -0,5170288)
(-4,269075; 0,0001000166; -0,5269895)
(-4,268143; 0,0001000166; -0,5369459)
(-4,267165; 9,989738E-05; -0,5468979)
(-4,26614; 9,989738E-05; -0,5568454)
(-4,265071; 0,0001000166; -0,566788)
(-4,263958; 0,0001000166; -0,5767258)
(-4,262799; 9,989738E-05; -0,5866585)
(-4,261598; 9,989738E-05; -0,596586)
(-4,260353; 0,0001000166; -0,6065083)
(-4,259065; 0,0001000166; -0,616425)
(-4,257735; 9,989738E-05; -0,6263361)
(-4,256362; 9,989738E-05; -0,6362416)
(-4,254949; 0,0001000166; -0,6461411)
(-4,253494; 0,0001000166; -0,6560347)
(-4,251998; 9,989738E-05; -0,6659223)
(-4,250463; 9,989738E-05; -0,6758037)
(-4,248888; 0,0001000166; -0,6856788)
(-4,247273; 0,0001000166; -0,6955475)
(-4,245619; 9,989738E-05; -0,7054098)
(-4,243927; 9,989738E-05; -0,7152656)
(-4,242196; 0,0001000166; -0,7251148)
(-4,240428; 0,0001000166; -0,7349572)
(-4,238623; 9,989738E-05; -0,7447929)
(-4,23678; 9,989738E-05; -0,7546217)
(-4,234901; 0,0001000166; -0,7644436)
(-4,232986; 0,0001000166; -0,7742586)
(-4,231036; 9,989738E-05; -0,7840664)
(-4,22905; 9,989738E-05; -0,7938673)
(-4,227029; 0,0001000166; -0,8036609)
(-4,224974; 0,0001000166; -0,8134474)
(-4,222884; 9,989738E-05; -0,8232267)
(-4,220761; 9,989738E-05; -0,8329987)
(-4,218604; 0,0001000166; -0,8427633)
(-4,216414; 0,0001000166; -0,8525206)
(-4,214192; 9,989738E-05; -0,8622706)
(-4,211937; 9,989738E-05; -0,8720131)
(-4,209651; 0,0001000166; -0,8817481)
(-4,207333; 0,0001000166; -0,8914757)
(-4,204983; 9,989738E-05; -0,9011959)
(-4,202603; 9,989738E-05; -0,9109085)
(-4,200192; 0,0001000166; -0,9206136)
(-4,197752; 0,0001000166; -0,9303111)
(-4,195281; 9,989738E-05; -0,9400011)
(-4,192781; 9,989738E-05; -0,9496836)
(-4,190252; 0,0001000166; -0,9593585)
(-4,187694; 0,0001000166; -0,9690258)
(-4,185108; 9,989738E-05; -0,9786856)
(-4,182446; 9,989738E-05; -0,9883248)
(-4,179709; 0,0001000166; -0,9979431)
(-4,1769; 0,0001000166; -1,00754)
(-4,174017; 9,989738E-05; -1,017116)
(-4,171063; 9,989738E-05; -1,026669)
(-4,168038; 0,0001000166; -1,036201)
(-4,164943; 0,0001000166; -1,04571)
(-4,161779; 9,989738E-05; -1,055196)
(-4,158547; 0,0001000166; -1,06466)
(-4,155248; 9,989738E-05; -1,0741)
(-4,151883; 0,0001000166; -1,083516)
(-4,148452; 0,0001000166; -1,09291)
(-4,144958; 9,989738E-05; -1,102279)
(-4,141398; 9,989738E-05; -1,111624)
(-4,137777; 0,0001000166; -1,120945)
(-4,134094; 0,0001000166; -1,130242)
(-4,130349; 9,989738E-05; -1,139515)
(-4,126544; 9,989738E-05; -1,148763)
(-4,122681; 0,0001000166; -1,157986)
(-4,118758; 0,0001000166; -1,167185)
(-4,114778; 9,989738E-05; -1,176359)
(-4,110741; 9,989738E-05; -1,185507)
(-4,106648; 0,0001000166; -1,194631)
(-4,102499; 0,0001000166; -1,20373)
(-4,098297; 9,989738E-05; -1,212804)
(-4,09404; 9,989738E-05; -1,221853)
(-4,089731; 0,0001000166; -1,230877)
(-4,085369; 0,0001000166; -1,239876)
(-4,080956; 9,989738E-05; -1,248849)
(-4,076492; 9,989738E-05; -1,257798)
